# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_0.5
ScaledBy=2.55102040816326554e-04
Title=quark-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	5.102041e-02	3.607688e-02	3.607688e-02
1.000000e-02	2.000000e-02	2.551020e-02	2.551020e-02	2.551020e-02
2.000000e-02	3.000000e-02	2.551020e-02	2.551020e-02	2.551020e-02
3.000000e-02	4.000000e-02	4.336735e-01	1.051813e-01	1.051813e-01
4.000000e-02	5.000000e-02	5.102041e-01	1.140851e-01	1.140851e-01
5.000000e-02	6.000000e-02	7.653061e-01	1.397252e-01	1.397252e-01
6.000000e-02	7.000000e-02	1.198980e+00	1.748891e-01	1.748891e-01
7.000000e-02	8.000000e-02	1.709184e+00	2.088100e-01	2.088100e-01
8.000000e-02	9.000000e-02	2.372449e+00	2.460115e-01	2.460115e-01
9.000000e-02	1.000000e-01	2.780612e+00	2.663344e-01	2.663344e-01
1.000000e-01	1.100000e-01	3.418367e+00	2.953020e-01	2.953020e-01
1.100000e-01	1.200000e-01	3.698980e+00	3.071835e-01	3.071835e-01
1.200000e-01	1.300000e-01	3.571429e+00	3.018408e-01	3.018408e-01
1.300000e-01	1.400000e-01	4.464286e+00	3.374682e-01	3.374682e-01
1.400000e-01	1.500000e-01	4.387755e+00	3.345631e-01	3.345631e-01
1.500000e-01	1.600000e-01	4.183673e+00	3.266901e-01	3.266901e-01
1.600000e-01	1.700000e-01	4.285714e+00	3.306500e-01	3.306500e-01
1.700000e-01	1.800000e-01	3.928571e+00	3.165734e-01	3.165734e-01
1.800000e-01	1.900000e-01	3.137755e+00	2.829218e-01	2.829218e-01
1.900000e-01	2.000000e-01	3.239796e+00	2.874854e-01	2.874854e-01
2.000000e-01	2.100000e-01	3.316327e+00	2.908611e-01	2.908611e-01
2.100000e-01	2.200000e-01	2.525510e+00	2.538233e-01	2.538233e-01
2.200000e-01	2.300000e-01	2.448980e+00	2.499479e-01	2.499479e-01
2.300000e-01	2.400000e-01	2.551020e+00	2.551020e-01	2.551020e-01
2.400000e-01	2.500000e-01	2.244898e+00	2.393069e-01	2.393069e-01
2.500000e-01	2.600000e-01	1.887755e+00	2.194471e-01	2.194471e-01
2.600000e-01	2.700000e-01	1.632653e+00	2.040816e-01	2.040816e-01
2.700000e-01	2.800000e-01	1.811224e+00	2.149528e-01	2.149528e-01
2.800000e-01	2.900000e-01	2.091837e+00	2.310047e-01	2.310047e-01
2.900000e-01	3.000000e-01	1.556122e+00	1.992411e-01	1.992411e-01
3.000000e-01	3.100000e-01	1.147959e+00	1.711276e-01	1.711276e-01
3.100000e-01	3.200000e-01	1.020408e+00	1.613407e-01	1.613407e-01
3.200000e-01	3.300000e-01	1.377551e+00	1.874610e-01	1.874610e-01
3.300000e-01	3.400000e-01	7.397959e-01	1.373766e-01	1.373766e-01
3.400000e-01	3.500000e-01	8.673469e-01	1.487488e-01	1.487488e-01
3.500000e-01	3.600000e-01	9.948980e-01	1.593112e-01	1.593112e-01
3.600000e-01	3.700000e-01	9.438776e-01	1.551725e-01	1.551725e-01
3.700000e-01	3.800000e-01	1.122449e+00	1.692155e-01	1.692155e-01
3.800000e-01	3.900000e-01	9.183673e-01	1.530612e-01	1.530612e-01
3.900000e-01	4.000000e-01	7.397959e-01	1.373766e-01	1.373766e-01
4.000000e-01	4.100000e-01	4.846939e-01	1.111964e-01	1.111964e-01
4.100000e-01	4.200000e-01	6.122449e-01	1.249740e-01	1.249740e-01
4.200000e-01	4.300000e-01	6.377551e-01	1.275510e-01	1.275510e-01
4.300000e-01	4.400000e-01	5.867347e-01	1.223426e-01	1.223426e-01
